번호,장소,title,대상,행사일시,참가료
441,중앙,[★온라인강연][2021년 평화 1번지 마포] 여행하며 맛 본 북한의 음식 ,전연령, 2021.10.27~2021.10.27,"
											
												
												무료
											
										"
440,중앙,[★온라인강연] 마중도 어린이 북큐레이터(나의 소중함을 알아가요),어린이, 2021.10.22~2021.11.26,"
											
												
												무료
											
										"
439,중앙,[★온라인강연][한국어문학과 포노사피엔스3] 디지털 리터러시와 시적 언어의 학습효과,전연령, 2021.10.21~2021.10.21,"
											
												
												무료
											
										"
438,중앙,[★온라인강연][지혜의도서관] 인공지능은 예술작품을 창작할 수 있을까 (11회차강연),전연령, 2021.10.20~2021.10.20,"
											
												
												무료
											
										"
437,중앙,[★온라인강연][한국어문학과 포노사피엔스 2] 포노사피엔스 시대의 고전문학 향유방식 탐구,전연령, 2021.10.14~2021.10.14,"
											
												
												무료
											
										"
436,중앙,[★온라인강연][지혜의도서관] SF문학으로 보는 포스트휴머니즘 (10회차강연),전연령, 2021.10.13~2021.10.13,"
											
												
												무료
											
										"
435,중앙,[★온라인강연] 화요미시회(8회강연),중장년, 2021.10.12~2021.11.30,"
											
												
												무료
											
										"
434,중앙,[★온라인강연][미디어 평생교실] 미디어 리터러시 - 학부모 연수,성인, 2021.10.08~2021.11.02,"
											
												
												무료
											
										"
433,중앙,[★온라인강연][한국어문학과 포노사피엔스]1. 포털뉴스댓글의 비난화행,전연령, 2021.10.07~2021.10.07,"
											
												
												무료
											
										"
432,중앙,[북스타트 동영상] 음악이 있는 북스타트 스토리 타임,어린이, 2021.10.05~2021.12.31,"
											
												
												무료
											
										"
431,중앙,[★온라인강연][아웃사이더 인문학] <미학> 디지털 미학의 문화정치,전연령, 2021.09.30~2021.09.30,"
											
												
												무료
											
										"
430,중앙,[★온라인강연][아웃사이더 인문학] <클래식> 클래식이 알고싶다 – 브람스를 좋아하세요?,전연령, 2021.09.23~2021.09.23,"
											
												
												무료
											
										"
429,중앙,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활3:대동여지도 간행 160주년 강의,전연령, 2021.09.16~2021.09.16,"
											
												
												무료
											
										"
428,중앙,"[★온라인강연][지혜의도서관] 환경과 생태, 지구를 살리는 소비 (9회차강연)",전연령, 2021.09.15~2021.09.15,"
											
												
												무료
											
										"
427,중앙,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활2:학자의 눈으로 바라본 박완서,전연령, 2021.09.14~2021.09.14,"
											
												
												무료
											
										"
426,중앙,"[★온라인강연] 마중도 어린이 북큐레이터 (초3,4)",어린이, 2021.09.10~2021.10.15,"
											
												
												무료
											
										"
425,중앙,[★온라인강연][지혜의도서관] 수소로 전기와 열을 만드는 세상 (8회차강연),전연령, 2021.09.08~2021.09.08,"
											
												
												무료
											
										"
424,중앙,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활1:출판인의 눈으로 바라본 박완서,전연령, 2021.09.07~2021.09.07,"
											
												
												무료
											
										"
423,중앙,[★온라인강연] 북스타트 온라인 부모교육,성인, 2021.09.04~2021.09.18,"
											
												
												무료
											
										"
422,중앙,[★온라인강연][지혜의도서관] 기후변화와 우리의 미래 (7회차강연),전연령, 2021.09.01~2021.09.01,"
											
												
												무료
											
										"
421,중앙,[★온라인강연][아웃사이더 인문학] <윤리학> 윤리학의 분투 – 생활 속의 응용윤리,전연령, 2021.08.26~2021.08.26,"
											
												
												무료
											
										"
420,중앙,[★온라인강연][아웃사이더 인문학] <철학> 왜 공부하는 삶을 사는가?,전연령, 2021.08.19~2021.08.19,"
											
												
												무료
											
										"
419,중앙,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 3회차강연,전연령, 2021.08.19~2021.08.19,"
											
												
												무료
											
										"
418,중앙,[★온라인강연][지혜의도서관] AI윤리기준:인공지능과의 공존 (6회차강연),전연령, 2021.08.11~2021.08.11,"
											
												
												무료
											
										"
417,중앙,[★온라인강연][리터러시] 미디어셰프,어린이, 2021.08.07~2021.09.25,"
											
												
												무료
											
										"
416,중앙,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 2회차강연,전연령, 2021.08.05~2021.08.05,"
											
												
												무료
											
										"
415,중앙,[★온라인강연][지혜의도서관] 포스트휴먼과 포스트휴머니즘 (5회차강연),전연령, 2021.08.04~2021.08.04,"
											
												
												무료
											
										"
414,중앙,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 1회차강연,전연령, 2021.07.22~2021.07.22,"
											
												
												무료
											
										"
413,중앙,"[★온라인강연][지혜의도서관] 과학의 시대, 생명윤리학의 역할 (4회차강연)",전연령, 2021.07.21~2021.07.21,"
											
												
												무료
											
										"
