lib,title,target
천호,[모집] 천호도서관 5세 책놀이 육아모임 '책뭉치' 모임원 모집,대상 : 5세아이와 부모님
해공,나의 둔촌아파트 김민지 작가와 함께하는 북타민 플러스 - 엄마 아빠의 놀이터는 이곳이었단다(B반),대상 : 초등 저학년 어린이 1명과 양육자 1명씩 10팀
해공,나의 둔촌아파트 김민지 작가와 함께하는 북타민 플러스 - 엄마 아빠의 놀이터는 이곳이었단다(A반),대상 : 초등 저학년 어린이 1명과 양육자 1명씩 10팀
둔촌,[모집] [봉사시간 부여] '줍깅' 커뮤니티 신규 모집,대상 : 중·고등학생 (총 8회차 장기 참여 가능자)
해공, [디지털배움터] 스마트폰 사진 찍기,대상 : 신중년(50+)
해공, [디지털배움터] 파워포인트 기초,대상 : 신중년(50+)
해공,[디지털배움터] 스마트폰 동영상 편집,대상 : 신중년(50+)
해공, [디지털배움터] 줌 마스터 되기 ,대상 : 신중년(50+)
해공, [디지털배움터] 스마트폰 길찾기,대상 : 신중년(50+)
해공,[디지털배움터] 스마트폰 기초 (금요반),대상 : 신중년(50+)
해공,[디지털배움터] 스마트폰 기초 (월요반),대상 : 신중년(50+)
성내,창업 성공 멘토 특강 [5월],대상 : 성인
성내,성내 1:1 창업 상담 [5월],대상 : 성인
성내,"[그림책 특화] 성내도서관 <그림책, 작가와 만나다> 5월 강연",대상 : 성인
둔촌,[기관연계] 청소년 주의력 검사 통한 심리점검 <마스크속 아이들의 마음>,"대상 : 중, 고등학교 청소년(부모님 동행) 2팀"
둔촌,[기관연계] 부모 양육태도 코칭 프로그램 <우리 엄마 아빠가 달라졌어요>,대상 : 초중 자녀를 둔 부모 2팀
암사,[기관연계] 심리상담연구소 봄과 함께하는 부모 및 청소년 상담 프로그램,대상 : 초중자녀를 둔 부모 2팀 / 중고등학생(부모동행) 2팀
성내,그림책으로 떠나는 감정여행 (4/27 불쾌감),대상 : 초등1~2학년
성내,"그림책으로 떠나는 감정여행(4/26 질투,사랑)",대상 : 양진선
성내,그림책으로 떠나는 감정여행(4/22 자아존중),대상 : 초등 1~4
