lib,title,target
어울림,(일자변경 및 비대면 전환)[어울림도서관] 엄마랑 나랑 새활용 공방_1차,"어린이,성인"
손기정문화,(3/30으로 변경)[손기정문화도서관] 머.라.밸 (Money Life Balance),"청소년,성인,누구나"
어울림,(일자변경 및 비대면 전환)[어울림도서관] 엄마랑 나랑 새활용 공방_2차,"어린이,성인"
손기정문화,[손기정문화도서관] 2022 작가와의 대화 2차,누구나
가온,[가온] 가온공방 : 그림책과 함께하는 환경,성인
어울림,[어울림도서관] 첫 아이가 학교에 갑니다! (중등편),성인
다산성곽,[다산성곽도서관] 2022 신년음악회,누구나
어울림,[어울림도서관] 첫 아이가 학교에 갑니다! (초등편),성인
손기정문화,[손기정문화도서관] 신년 인문학 : 명리학 특강,성인
손기정문화,[손기정문화도서관] 2022 작가와의 대화 1차,누구나
가온,[가온도서관] 100일 벽돌책 읽기 - 사피엔스,"청소년,성인"
다산성곽,"다산성곽도서관 신년저자특강, '슬기로운 반려생활' 도란 작가와의 대화",누구나
남산타운어린이,엄마아빠와 함께하는 그림책 북아트,"영유아,성인"
어울림,[어울림도서관] 유튜브 라이브? 나도 할 수 있다!,성인
장충동작은,(1월 수고상점) 중구 견주들 다 모이시~개,성인
신당누리,신당누리도서관 스마트폰 배움이 모집,성인
가온,"[가온도서관] 날마다, 도서관 어린이 마술공연","영유아,어린이,누구나"
신당누리,손경이 박사와 함께하는 우리아이 성교육 <2단계-경계존중 교육> ,성인
다산성곽,[다산성곽도서관] 2022년 1분기 <도서관이랑 놀자!> 오리엔테이션,"영유아,어린이"
가온,[가온도서관] 시니어를 위한 스마트폰 활용 교육,성인
손기정문화,신발 커스텀 및 디자인 체험,누구나
가온,문학산책 : 안데르센 다시 읽기,"청소년,성인"
장충동작은,12월 '장충생각' 단테와 신곡,성인
손기정문화,그림으로 질문하는 내 마음 이야기,누구나
장충동작은,11월 「수고상점」,성인
장충동작은,'11월 장충생각' 괴테를 만나는 시간,성인
장충동작은,10월 「수고상점」,성인
