년,월,시도,시군구,등록외국인 수
2022,02,경기도,수원시 권선구,8626
2022,02,경기도,수원시 영통구,6731
2022,02,경기도,수원시 장안구,6255
2022,02,경기도,수원시 팔달구,11373
2022,02,경기도,시흥시,31290
2022,02,경기도,안산시 단원구,34416
2022,02,경기도,안산시 상록구,12156
2022,02,경기도,안성시,10833
2022,02,경기도,안양시 동안구,1531
2022,02,경기도,안양시 만안구,4525
2022,02,경기도,양주시,6737
2022,02,경기도,양평군,1277
2022,02,경기도,여주시,3151
2022,02,경기도,연천군,829
2022,02,경기도,오산시,8572
2022,02,경기도,용인시 기흥구,4117
2022,02,경기도,용인시 수지구,2698
2022,02,경기도,용인시 처인구,9092
2022,02,경기도,의왕시,995
2022,02,경기도,의정부시,4637
2022,02,경기도,이천시,6604
2022,02,경기도,파주시,10257
2022,02,경기도,평택시,24136
2022,02,경기도,포천시,11302
2022,02,경기도,하남시,2219
2022,02,경기도,화성시,35072
2022,02,경상남도,거제시,5223
2022,02,경상남도,거창군,517
2022,02,경상남도,고성군,1015
2022,02,경상남도,김해시,16017
2022,02,경상남도,남해군,760
2022,02,경상남도,밀양시,2439
2022,02,경상남도,사천시,2931
2022,02,경상남도,산청군,526
2022,02,경상남도,양산시,5535
2022,02,경상남도,의령군,691
2022,02,경상남도,진주시,4448
2022,02,경상남도,창녕군,2077
2022,02,경상남도,창원시 마산합포구,1925
2022,02,경상남도,창원시 마산회원구,1782
2022,02,경상남도,창원시 성산구,3352
2022,02,경상남도,창원시 의창구,2790
2022,02,경상남도,창원시 진해구,2946
2022,02,경상남도,통영시,3537
2022,02,경상남도,하동군,436
2022,02,경상남도,함안군,2791
2022,02,경상남도,함양군,360
2022,02,경상남도,합천군,593
2022,02,경상북도,경산시,10327
2022,02,경상북도,경주시,9297
2022,02,경상북도,고령군,1381
2022,02,경상북도,구미시,4605
2022,02,경상북도,군위군,420
2022,02,경상북도,김천시,2320
2022,02,경상북도,문경시,632
2022,02,경상북도,봉화군,305
2022,02,경상북도,상주시,1055
2022,02,경상북도,성주군,1420
2022,02,경상북도,안동시,1267
2022,02,경상북도,영덕군,920
2022,02,경상북도,영양군,254
2022,02,경상북도,영주시,768
2022,02,경상북도,영천시,2617
2022,02,경상북도,예천군,482
2022,02,경상북도,울릉군,133
2022,02,경상북도,울진군,1467
2022,02,경상북도,의성군,503
2022,02,경상북도,청도군,918
2022,02,경상북도,청송군,180
2022,02,경상북도,칠곡군,3727
2022,02,경상북도,포항시 남구,3175
2022,02,경상북도,포항시 북구,2639
2022,02,광주광역시,광산구,11700
2022,02,광주광역시,남구,1380
2022,02,광주광역시,동구,1596
2022,02,광주광역시,북구,4390
2022,02,광주광역시,서구,1620
2022,02,대구광역시,남구,1874
2022,02,대구광역시,달서구,9552
2022,02,대구광역시,달성군,4994
2022,02,대구광역시,동구,1645
2022,02,대구광역시,북구,4555
2022,02,대구광역시,서구,2029
2022,02,대구광역시,수성구,1630
2022,02,대구광역시,중구,719
2022,02,대전광역시,대덕구,2087
2022,02,대전광역시,동구,4120
2022,02,대전광역시,서구,3488
2022,02,대전광역시,유성구,6281
2022,02,대전광역시,중구,1375
2022,02,부산광역시,강서구,4101
2022,02,부산광역시,금정구,3454
2022,02,부산광역시,기장군,1796
2022,02,부산광역시,남구,4885
2022,02,부산광역시,동구,1565
2022,02,부산광역시,동래구,893
2022,02,부산광역시,부산진구,2238
2022,02,부산광역시,북구,1837
2022,02,부산광역시,사상구,3884
2022,02,부산광역시,사하구,3510
2022,02,부산광역시,서구,1791
2022,02,부산광역시,수영구,1281
2022,02,부산광역시,연제구,698
2022,02,부산광역시,영도구,1577
2022,02,부산광역시,중구,1865
2022,02,부산광역시,해운대구,3508
2022,02,서울특별시,강남구,4798
2022,02,서울특별시,강동구,3819
2022,02,서울특별시,강북구,3405
2022,02,서울특별시,강서구,5436
2022,02,서울특별시,관악구,13637
2022,02,서울특별시,광진구,12486
2022,02,서울특별시,구로구,24105
2022,02,서울특별시,금천구,13923
2022,02,서울특별시,노원구,3953
2022,02,서울특별시,도봉구,2017
2022,02,서울특별시,동대문구,14189
2022,02,서울특별시,동작구,8645
2022,02,서울특별시,마포구,9898
2022,02,서울특별시,서대문구,10680
2022,02,서울특별시,서초구,3848
2022,02,서울특별시,성동구,6457
2022,02,서울특별시,성북구,9444
2022,02,서울특별시,송파구,5682
2022,02,서울특별시,양천구,3196
2022,02,서울특별시,영등포구,23697
2022,02,서울특별시,용산구,14312
2022,02,서울특별시,은평구,3825
2022,02,서울특별시,종로구,9230
2022,02,서울특별시,중구,9257
2022,02,서울특별시,중랑구,4545
2022,02,세종특별자치시,세종특별자치시,4894
2022,02,울산광역시,남구,4111
2022,02,울산광역시,동구,3159
2022,02,울산광역시,북구,2133
2022,02,울산광역시,울주군,5791
2022,02,울산광역시,중구,1635
2022,02,인천광역시,강화군,749
2022,02,인천광역시,계양구,3151
2022,02,인천광역시,남동구,10930
2022,02,인천광역시,동구,843
2022,02,인천광역시,미추홀구,9172
2022,02,인천광역시,부평구,13916
2022,02,인천광역시,서구,11351
2022,02,인천광역시,연수구,12423
2022,02,인천광역시,옹진군,194
2022,02,인천광역시,중구,3900
2022,02,전라남도,강진군,415
2022,02,전라남도,고흥군,959
2022,02,전라남도,곡성군,414
2022,02,전라남도,광양시,1487
2022,02,전라남도,구례군,187
2022,02,전라남도,나주시,2663
2022,02,전라남도,담양군,901
2022,02,전라남도,목포시,3032
2022,02,전라남도,무안군,1581
2022,02,전라남도,보성군,402
2022,02,전라남도,순천시,2114
2022,02,전라남도,신안군,754
2022,02,전라남도,여수시,4864
2022,02,전라남도,영광군,876
2022,02,전라남도,영암군,4132
2022,02,전라남도,완도군,2126
2022,02,전라남도,장성군,920
2022,02,전라남도,장흥군,489
