번호,행사명,대상,장소,행사일시,유무료
591,[비대면]가구 설계 전문가 되어 보기_3D 프린터 / 초등4~6학년+중등,어린이,4층 상상공작소,2022-03-11,"20,000 원"
590,[비대면] 지속가능한 모빌리티 전기자동차 / 초등 4~6학년,어린이,4층 상상공작소,2022-03-19,무료
589,[대면] 장비활용교육_3D프린터 / 중학생~성인,어린이,4층 상상공작소,2022-03-19,무료
588,[대면] 명화와 함께하는 3D펜 / 초등 1-3학년 ,어린이,4층 상상공작소,2022-03-16,무료
587,[대면]명화와 함께하는 3D펜 / 초등4-6학년,어린이,4층 상상공작소,2022-03-12,무료
586,독서동아리(40대 이상) '문장수집가' 회원 모집,중장년,강북문화정보도서관...,2022-03-22,무료
585,어린이독서동아리 '강북(BooK)탐험단' 단원 모집 (초등 3~4학년),어린이,강북문화정보도서관...,2022-03-24,무료
584,독서동아리(중학생) '행Book하자' 회원 모집,어린이,강북문화정보도서관...,2022-03-16,무료
583,"독서동아리(2,30대) '야나독' 회원 모집",성인,강북문화정보도서관...,2022-03-21,무료
582,2월문화가있는날 고학년,어린이,온라인 줌수업 ,2022-02-23,무료
581,2월문화가있는날 저학년,어린이,온라인 줌수업 ,2022-02-23,무료
580,그림책을 부탁해,어린이,강북문화정보도서관...,2022-02-16,무료
579,1월 문화가 있는날,전연령,온라인,2022-01-26,무료
578,"그림책 마음코칭(5,6학년)",어린이,ZOOM 통한 화...,2022-01-25,무료
577,"그림책 마음코칭(3,4학년)",어린이,강북문화정보도서관...,2022-01-25,무료
576,"그림책 마음코칭(1,2학년)",어린이,강북문화정보도서관...,2022-01-25,무료
575,상상공작소 장비활용교육(3D프린터)/ 중고생~성인,어린이,4층 상상공작소,2022-02-26,무료
574,[비대면]환경 보호 앱 만들기_앱인벤터 / 초등 4-6학년,어린이,비대면(ZOOM),2022-02-11,"20,000 원"
573,[비대면]마이 스토리 이니셜 북폴딩(업사이클링) / 성인,성인,비대면(ZOOM),2022-02-12,무료
572,새해 소망을 담은 토퍼 메이킹_실루엣커팅기/ 성인,성인,4층 상상공작소,2022-01-27,무료
571,새해 소망을 담은 DIY 큐브 조명등 메이킹/초등1-3학년,어린이,4층 상상공작소,2022-01-22,무료
570,새해 소망을 담은 DIY 큐브 조명등 메이킹/초등4-6학년,어린이,4층 상상공작소,2022-01-22,무료
569,2022년 겨울독서교실 참여자 모집(초등 저학년반),어린이,강북문화정보도서관...,2022-01-17,무료
568,2022년 겨울독서교실 참여자 모집(초등 고학년반),어린이,강북문화정보도서관...,2022-01-17,무료
229,청소년문화정보도서관 북스타트 연계프로그램(3~5세),어린이,1층 모두의 열람...,2022-09-20,무료
228,청소년문화정보도서관 북스타트 연계프로그램(6~7세),어린이,1층 모두의 열람...,2022-09-22,무료
227,영상 편집을 위한 프리미어 프로 / 성인,성인,3층 상상공작소,2022-09-02,"20,000 원"
226,1인 미디어스튜디오 활용교육 / 성인,성인,3층 상상공작소,2022-09-03,무료
225,상상공작소 장비활용교육(UV프린터) / 중고생~성인,청소년,3층 상상공작소,2022-09-17,무료
224,9월 명화와 함께하는 3D펜 / 초등 4~6학년,어린이,3층 상상공작소,2022-09-16,무료
223,9월 명화와 함께하는 3D펜 / 초등 1~3학년,어린이,3층 상상공작소,2022-09-06,무료
222,9월 사서쌤과 책읽기(4~6학년) - 9월 21일(수) 대면,어린이,강북청소년문화정보...,2022-09-21,무료
221,9월 사서쌤과 책읽기(4~6학년) - 9월 17일(토) 대면,어린이,강북청소년문화정보...,2022-09-17,무료
220,9월 사서쌤과 책읽기(1~3학년) - 9월 7일(수) 대면,어린이,강북청소년문화정보...,2022-09-07,무료
219,9월 사서쌤과 책읽기(1~3학년) - 9월 3일(토) 대면,어린이,강북청소년문화정보...,2022-09-03,무료
218,[강북청소년] 8월 사서쌤과 역사읽기 참여자 모집,어린이,강북청소년문화정보...,2022-08-10,무료
217,펜타블렛으로 그리는 웹툰 / 초등 5학년~중고생,어린이,3층 상상공작소,2022-08-06,"20,000 원"
216,초보자를 위한 3D스캐너 교육 / 중고생~성인,청소년,3층 상상공작소,2022-08-06,무료
215,상상공작소 장비활용교육(3D프린터) / 중고생~성인,청소년,3층 상상공작소,2022-08-13,무료
214,8월 명화와 함께하는 3D펜 / 초등 1~3학년,어린이,3층 상상공작소,2022-08-18,무료
213,8월 명화와 함께하는 3D펜 / 초등 4~6학년,어린이,3층 상상공작소,2022-08-11,무료
212,가죽공예 체험 - 카드지갑 만들기 / 중고생,청소년,3층 상상공작소,2022-07-29,무료
211,나도 에너지 전문가 - 태양광 자동차 만들기 / 초등 4~6학년,어린이,3층 상상공작소,2022-07-30,무료
210,춤추는 태양광 나비 만들기 / 초등 1~3학년,어린이,3층 상상공작소,2022-07-30,무료
209,2022.여름독서교실,어린이,청소년문화정보도서...,2022-08-03,무료
208,상상공작소 장비활용교육(UV프린터) / 중고생~성인,청소년,3층 상상공작소,2022-07-16,무료
207,한 문장 도서 굿즈_머그컵 만들기 / 성인,성인,3층 상상공작소,2022-07-12,무료
206,천둥 소리 장치를 만들고 인공지능 소리 체험하기 / 초등 1~3학년,어린이,3층 상상공작소,2022-07-08,무료
205,압화 캘리그라피 손거울과 배지 만들기 / 중고생~성인,청소년,3층 상상공작소,2022-07-02,무료
204,7월 명화와 함께하는 3D펜 / 초등 1~3학년,어린이,3층 상상공작소,2022-07-14,무료
203,7월 명화와 함께하는 3D펜 / 초등 4~6학년,어린이,3층 상상공작소,2022-07-07,무료
202,7월 사서쌤과 책읽기(4~6학년) - 7월 23일(토) 대면,어린이,강북청소년문화정보...,2022-07-23,무료
201,7월 사서쌤과 책읽기(4~6학년) - 7월 20일(수) 대면,어린이,강북청소년문화정보...,2022-07-20,무료
200,7월 사서쌤과 책읽기(1~3학년) - 7월 16일(토) 대면,어린이,강북청소년문화정보...,2022-07-16,무료
199,7월 사서쌤과 책읽기(1~3학년) - 7월 13일(수) 대면,어린이,강북청소년문화정보...,2022-07-13,무료
198,"<시간변경 추가모집!>미디어, 어디까지 해봤니?",어린이,강북청소년문화정보...,2022-07-05,무료
197,6월 사서쌤과 책읽기(4~6학년) - 6월 25일(토) 대면,어린이,강북청소년문화정보...,2022-06-25,무료
196,6월 사서쌤과 책읽기(1~3학년) - 6월 14일(화) 대면,어린이,강북청소년문화정보...,2022-06-14,무료
195,6월 사서쌤과 책읽기(1~3학년) - 6월 11일(토) 대면,어린이,강북청소년문화정보...,2022-06-11,무료
194,이야기가 있는 코딩 / 초등 4~6학년,어린이,3층 상상공작소,2022-06-09,무료
193,3D프린터운용기능사 자격증 실기반 / 성인,성인,3층 상상공작소,2022-06-11,"40,000 원"
192,열프레스기와 승화전사프린터로 티셔츠 만들기 / 성인,성인,3층 상상공작소,2022-06-16,무료
191,상상공작소 장비활용교육(3D프린터) / 중학생~성인,어린이,3층 상상공작소,2022-06-18,무료
190,6월 명화와 함께하는 3D펜 / 초등 4~6학년,어린이,3층 상상공작소,2022-06-04,무료
189,6월 명화와 함께하는 3D펜 / 초등 1~3학년,어린이,3층 상상공작소,2022-06-02,무료
188,환경을 위한 작은실천(제로 웨이스트)-고학년(4~6학년),어린이,청소년도서관 1층...,2022-07-22,무료
187,환경을 위한 작은실천(제로 웨이스트)-저학년(1~3학년),어린이,청소년도서관 1층...,2022-07-15,무료
186,5/28 오전 11시-체험동화마을<방귀쟁이 새색시> ,어린이,강북청소년문화정보...,2022-05-28,무료
