title,도서관,장소,신청/정원,교육기간,접수기간,수강료,대상
<별것 아닌 선의> 이소영 작가 북토크 참여 신청,탐라,온라인(ZOOM),44/50 ,2021-09-26 ~ 2021-09-26,2021-09-06 ~ 2021-09-22,없음,도민
"<한때 유로파에서, 존 버거> 김탁환 작가와 함께 읽는 고전 9월..",탐라,온라인(ZOOM),32/50 ,2021-09-25 ~ 2021-09-25,2021-09-06 ~ 2021-09-22,없음,도민
"(온라인)독서의 달 행사 '집독(Read), 집해(Play)' 참여자 모집..",제주시기적,온라인 영상,60/60 ,2021-09-10 ~ 2021-09-12,2021-09-02 ~ 2021-09-08,무료,성인(도민)
(온라인)독서의 달 행사 '영화와 읽다' 참여자 모집_초등5~6학년..,제주시기적,온라인 줌(ZOOM)을 통한 실시간 강연,19/30 ,2021-09-11 ~ 2021-09-11,2021-09-02 ~ 2021-09-10,무료,초등학생
(온라인)슬기로운 집콕 보드게임 생활 참여자 모집_초등3~4학년..,제주시기적,온라인 줌(ZOOM)을 통한 실시간 강연,16/16 ,2021-09-12 ~ 2021-10-03,2021-09-02 ~ 2021-09-08,무료,초등학생
서부도서관 김동식 작가 강연,서부,비대면(ZOOM),20/50  (대기 : 10) ,2021-09-18 ~ 2021-09-18,2021-09-02 ~ 2021-09-17,0,도민
「스마트폰 사진의 기술」 안덕산방도서관 하반기 프로그램 참가자 모집..,안덕산방,온라인(ZOOM),26/20  (대기 : 5) ,2021-09-18 ~ 2021-09-25,2021-09-01 ~ 2021-09-15,무료,도민
<용기내! 환경 챌린지> 배민 말고 용기 내민,탐라,온라인(ZOOM),15/15 ,2021-09-16 ~ 2021-09-30,2021-08-30 ~ 2021-09-09,없음,도민
<용기내! 환경 챌린지> 플라스틱 없는 주방과 욕실 만들기..,탐라,온라인(ZOOM),15/15 ,2021-09-15 ~ 2021-10-06,2021-08-30 ~ 2021-09-09,없음,도민
"<용기내! 환경 챌린지> 지구를 살리는 한끼, 비건 참가 신청..",탐라,온라인(ZOOM),15/15 ,2021-09-13 ~ 2021-10-04,2021-08-30 ~ 2021-09-09,없음,도민
(9.12.일.15시)책읽는 공원-독서캠핑,서귀포기적,도서관 실내정원,3/1  (대기 : 3) ,2021-09-12 ~ 2021-09-12,2021-08-27 ~ 2021-09-08,무료,기타
(9.12.일.14시)책읽는 공원-독서캠핑,서귀포기적,도서관 실내정원,3/1  (대기 : 3) ,2021-09-12 ~ 2021-09-12,2021-08-27 ~ 2021-09-08,무료,기타
(9.12.일.13시)책읽는 공원-독서캠핑,서귀포기적,도서관 실내정원,1/1  (대기 : 3) ,2021-09-12 ~ 2021-09-12,2021-08-27 ~ 2021-09-08,무료,기타
(9.12.일.11시)책읽는 공원-독서캠핑,서귀포기적,도서관 실내정원,2/1  (대기 : 3) ,2021-09-12 ~ 2021-09-12,2021-08-27 ~ 2021-09-08,무료,기타
(9.12.일.10시)책읽는 공원-독서캠핑,서귀포기적,도서관 실내정원,1/1  (대기 : 3) ,2021-09-12 ~ 2021-09-12,2021-08-27 ~ 2021-09-08,무료,기타
(9.11.토.15시)책읽는 공원-독서캠핑,서귀포기적,도서관 실내정원,3/1  (대기 : 3) ,2021-09-11 ~ 2021-09-11,2021-08-27 ~ 2021-09-08,0,기타
(9.11.토.14시)책읽는 공원-독서캠핑,서귀포기적,도서관 실내정원,4/1  (대기 : 3) ,2021-09-11 ~ 2021-09-11,2021-08-27 ~ 2021-09-08,0,기타
(9.11.토.13시)책읽는 공원-독서캠핑,서귀포기적,도서관실내정원,3/1  (대기 : 3) ,2021-09-11 ~ 2021-09-11,2021-08-27 ~ 2021-09-08,0,기타
(9.11.토.11시)책읽는 공원-독서캠핑,서귀포기적,도서관 실내정원,2/1  (대기 : 3) ,2021-09-11 ~ 2021-09-11,2021-08-27 ~ 2021-09-08,0,기타
(9.11.토.10시)책읽는 공원-독서캠핑,서귀포기적,도서관실내정원,2/1  (대기 : 3) ,2021-09-11 ~ 2021-09-11,2021-08-27 ~ 2021-09-08,0,기타
북스타트 부모 교육- 김지연강사(영유아부모대상),서귀포기적,각 가정(zoom활용),9/30  (대기 : 10) ,2021-09-17 ~ 2021-09-18,2021-08-27 ~ 2021-09-17,0,성인(도민)
북스타트 부모 교육- 백화현강사(초등저학년 학부모대상)..,서귀포기적,각 가정(zoom활용),29/30  (대기 : 10) ,2021-09-15 ~ 2021-09-16,2021-08-27 ~ 2021-09-12,0,성인(도민)
공감성교육 전문가 이석원의 '세상쉬운 우리아이 성교육'..,삼매봉,온라인 비대면(ZOOM),64/50  (대기 : 20) ,2021-09-04 ~ 2021-09-04,2021-08-26 ~ 2021-09-04,무료,성인(도민)
찾아가는 AI.SW 교육 지역교실-알고리즘 프로그램(초등4~6학년)..,서귀포기적,각 가정(zoom활용),16/12  (대기 : 5) ,2021-09-04 ~ 2021-09-25,2021-08-26 ~ 2021-09-02,0,초등학생
식물이 주는 위안,조천,비대면 온라인 수업,30/30 ,2021-09-12 ~ 2021-09-12,2021-08-25 ~ 2021-09-02,없음,성인(도민)
작가의 독서법:작가들은 어떻게 책을 읽을까? 특강,중앙,비대면 운영(ZOOM 활용),20/50  (대기 : 5) ,2021-09-11 ~ 2021-09-12,2021-08-24 ~ 2021-09-08,무료,성인(도민)
지금은 미디어 시대! 애월 유튜버 입문 클래스,애월,온라인 화상채팅(ZOOM) 비대면 운영,13/12  (대기 : 1) ,2021-09-09 ~ 2021-10-21,2021-08-23 ~ 2021-09-08,무료,성인(도민)
내 손으로 피워내는 꽃<페이퍼 플라워 아트>(성인대상)..,한경,한경도서관 1층 다목적실,20/15  (대기 : 5) ,2021-09-05 ~ 2021-09-26,2021-08-23 ~ 2021-08-26,0,성인(도민)
염승환 작가 초청 특강 '코로나 시대의 재테크 독서',삼매봉,온라인 비대면(ZOOM),80/70  (대기 : 10) ,2021-08-28 ~ 2021-08-28,2021-08-19 ~ 2021-08-28,무료,성인(도민)
서부도서관 하반기 생활과학교실 ,서부,서부도서관 문화창작실,11/10  (대기 : 4) ,2021-09-11 ~ 2021-11-27,2021-08-19 ~ 2021-09-08,0,초등학생
독서토론 리더양성 교육,삼매봉,온라인 비대면(ZOOM),14/10  (대기 : 5) ,2021-08-24 ~ 2021-09-14,2021-08-18 ~ 2021-08-22,무료,성인(도민)
2021년 애월도서관 독서아카데미 4부(이라영 작가),애월,온라인 화상채팅(ZOOM) ,35/40  (대기 : 2) ,2021-09-01 ~ 2021-09-15,2021-08-18 ~ 2021-08-31,무료,성인(도민)
<미술로 만나는 제주신화와 생명의 섬> 안덕산방도서관 독서아카데미 3차 ..,안덕산방,"온라인(ZOOM), 안덕산방도서관 문화창작실",14/13  (대기 : 10) ,2021-09-07 ~ 2021-10-05,2021-08-18 ~ 2021-09-02,무료,성인(도민)
<책 속에 숨겨진 나> 안덕산방도서관 독서의 달 프로그램 참가자 모집 (초..,안덕산방,비대면 운영(zoom 활용),13/15  (대기 : 5) ,2021-09-04 ~ 2021-09-25,2021-08-17 ~ 2021-09-01,무료,초등학생
<이금이 작가 강연> 안덕산방도서관 독서의달 프로그램 참가자 모집..,안덕산방,비대면 운영(zoom 활용),37/50  (대기 : 10) ,2021-09-12 ~ 2021-09-12,2021-08-17 ~ 2021-09-10,무료,도민
동부도서관 <나도 웹툰작가! 재밌는 카툰북 만들기> 참여자 모집(3~5학년)..,동부,동부도서관 시청각실,19/15  (대기 : 4) ,2021-09-05 ~ 2021-10-03,2021-08-14 ~ 2021-08-18,무료,초등학생
(8.22.일) 도서관과 함께하는 북(BOOK) 나들이 사업 참가자 모집..,서귀포기적,,6/5  (대기 : 2) ,2021-08-22 ~ 2021-08-22,2021-08-11 ~ 2021-08-18,,도민
(8.21.토) 도서관과 함께하는 북(BOOK)나들이 사업 참가자 모집..,서귀포기적,,3/5  (대기 : 2) ,2021-08-21 ~ 2021-08-21,2021-08-11 ~ 2021-08-18,,도민
김현 시인과 함께 읽는 책 <시스터 아웃사이더> 강연,탐라,온라인(ZOOM),32/50 ,2021-08-28 ~ 2021-08-28,2021-08-10 ~ 2021-08-25,없음,도민
"[중앙] 2021년 독서아카데미 3차 프로그램(""멈춤과 사유의 시간, 인문학을 ..",중앙,서귀포시 중앙도서관 및  각 가정(ZOOM),33/30  (대기 : 10) ,2021-09-25 ~ 2021-10-30,2021-08-09 ~ 2021-09-23,무료,성인(도민)
강원국 작가 글쓰기 특강 '나는 말하듯이 쓴다',삼매봉,온라인 비대면(ZOOM),70/70 ,2021-08-18 ~ 2021-08-18,2021-08-09 ~ 2021-08-18,무료,도민
북튜버 <겨울서점> 김겨울 작가 온라인 북토크,삼매봉,온라인 비대면(ZOOM),59/100 ,2021-08-21 ~ 2021-08-21,2021-08-09 ~ 2021-08-21,무료,도민
<한여름 밤 온라인 취미클래스> 펀치 니들 클래스,탐라,온라인(ZOOM),20/20 ,2021-08-19 ~ 2021-09-16,2021-08-09 ~ 2021-08-13,"70,000원",도민
<한여름 밤 온라인 취미클래스> 여름 코바늘 뜨개 ,탐라,온라인(ZOOM),20/20 ,2021-08-16 ~ 2021-09-13,2021-08-09 ~ 2021-08-13,"40,000원",도민
<있지만 없는 아이들> 은유 작가 신작 북토크,탐라,온라인(ZOOM),51/50  (대기 : 5) ,2021-08-21 ~ 2021-08-21,2021-08-07 ~ 2021-08-18,없음,도민
동부도서관 독서아카데미 3부 참여자 모집,동부,비대면,25/30  (대기 : 5) ,2021-08-21 ~ 2021-09-18,2021-08-03 ~ 2021-08-20,무료,성인(도민)
[중앙] 2021 중앙도서관 신규동아리 회원 추가 모집,중앙,비대면 운영(ZOOM),8/10 ,2021-07-29 ~ 2021-12-19,2021-07-29 ~ 2021-08-31,무료,성인(도민)
(온라인)꿈꾸는 도서관 북아트 참여자 모집_초등3~4학년..,제주시기적,온라인 줌(ZOOM)을 통한 실시간 강연,20/20 ,2021-08-08 ~ 2021-09-05,2021-07-29 ~ 2021-08-04,무료,초등학생
(온라인)조물락 조물락 클레이아트 참여자 모집_초등1~2학년..,제주시기적,온라인 줌(ZOOM)을 통한 실시간 강연,20/20 ,2021-08-07 ~ 2021-09-04,2021-07-29 ~ 2021-08-04,무료,초등학생
(8.8.일) 도서관과 함께하는 북(BOOK) 나들이 사업 참가자 모집..,서귀포기적,,1/5  (대기 : 2) ,2021-08-08 ~ 2021-08-08,2021-07-28 ~ 2021-08-04,,도민
(8.7.토)도서관과 함께하는 북(BOOK) 나들이 사업 참가자 모집..,서귀포기적,,1/5  (대기 : 2) ,2021-08-07 ~ 2021-08-07,2021-07-28 ~ 2021-08-04,0,도민
