title,도서관,장소,신청/정원,교육기간,접수기간,수강료,대상
서귀포기적의도서관 제주 소프트웨어 미래채움 교육 참가자 모집(인공지능 ..,서귀포기적,비대면 교육(ZOOM 활용),12/12  (대기 : 5) ,2021-01-26 ~ 2021-01-29,2021-01-20 ~ 2021-01-24,무료,초등학생
서귀포기적의도서관 제주 소프트웨어 미래채움 교육 참가자 모집(FUN! FUN!..,서귀포기적,비대면 교육(ZOOM 활용),15/12  (대기 : 5) ,2021-02-09 ~ 2021-02-17,2021-01-20 ~ 2021-01-31,무료,초등학생
'다 된 만화에 페미니즘 끼얹기' 탱알 작가 강연,탐라,온라인 줌(ZOOM) 비대면,37/40 ,2021-01-31 ~ 2021-01-31,2021-01-18 ~ 2021-01-28,없음,도민
"(온라인)책과 함께하는 방구석 세계여행(초등3~6학년, 2020학년도)..",제주시기적,온라인 수업(줌 화상회의),21/20 ,2021-01-26 ~ 2021-01-29,2021-01-13 ~ 2021-01-19,무료,초등학생
"(온라인)책이랑 북적북적(초등1~2학년, 2020학년도)",제주시기적,온라인 수업(줌 화상회의),15/15 ,2021-02-02 ~ 2021-02-05,2021-01-13 ~ 2021-01-19,무료,초등학생
서부도서관 겨울독서교실 <그림책과 함께하는 마음산책>..,서부,비대면 재택교육,15/10  (대기 : 5) ,2021-01-19 ~ 2021-01-22,2021-01-12 ~ 2021-01-18,0,초등학생
탐라도서관 어린이 겨울 독서교실 신청(초등 3학년),탐라,온라인 줌(ZOOM),15/15 ,2021-01-18 ~ 2021-01-26,2021-01-11 ~ 2021-01-14,무료,초등학생
탐라도서관 박준 시인과 함께 읽는 고전 '백석 평전',탐라,온라인 줌(ZOOM),44/40  (대기 : 5) ,2021-01-30 ~ 2021-01-30,2021-01-08 ~ 2021-01-20,무료,도민
겨울 독서 교실 '집콕! 그림책과 함께 생각 나눔!',우당,비대면 온라인(zoom활용),20/20 ,2021-01-16 ~ 2021-02-06,2021-01-07 ~ 2021-01-13,무료,초등학생
글쓰기로 마음 치유하기,조천,조천읍도서관 유튜브채널,16/15 ,2021-01-16 ~ 2021-02-20,2021-01-06 ~ 2021-01-13,무료,초등학생
안덕산방도서관 2021 겨울독서교실 참가자 모집,안덕산방,온라인 화상 플랫폼,12/12 ,2021-01-18 ~ 2021-01-21,2021-01-06 ~ 2021-01-13,무료,초등학생
2021년 한라도서관 전시실 8차 대관신청 (2021.12.16.~12.30.)..,한라,한라도서관1층 전시실,1/1 ,2021-12-16 ~ 2021-12-30,2020-12-28 ~ 2021-01-06,무료,기타
2021년 한라도서관 전시실 7차 대관신청 (2021.11.16.~11.30.)..,한라,한라도서관1층 전시실,1/1 ,2021-11-16 ~ 2021-11-30,2020-12-28 ~ 2021-01-06,무료,기타
2021년 한라도서관 전시실 6차 대관신청 (2021.10.15.~10.29.)..,한라,한라도서관1층 전시실,1/1 ,2021-10-15 ~ 2021-10-29,2020-12-28 ~ 2021-01-06,무료,기타
2021년 한라도서관 전시실 5차 대관신청 (2021.8.16.~8.30.),한라,한라도서관1층 전시실,1/1 ,2021-08-16 ~ 2021-08-30,2020-12-28 ~ 2021-01-06,무료,기타
2021년 한라도서관 전시실 4차 대관신청 (2021.7.16.~7.30.),한라,한라도서관1층 전시실,0/1 ,2021-07-16 ~ 2021-07-30,2020-12-28 ~ 2021-01-06,무료,기타
2021년 한라도서관 전시실 3차 대관신청 (2021.6.16.~6.30.),한라,한라도서관1층 전시실,0/1 ,2021-06-16 ~ 2021-06-30,2020-12-28 ~ 2021-01-06,무료,기타
2021년 한라도서관 전시실 2차 대관신청 (2021.5.17.~5.31.),한라,한라도서관1층 전시실,0/1 ,2021-05-17 ~ 2021-05-31,2020-12-28 ~ 2021-01-06,무료,기타
2021년 한라도서관 전시실 1차 대관신청 (2021.3.16.~3.30.),한라,한라도서관1층 전시실,0/1 ,2021-03-16 ~ 2021-03-30,2020-12-28 ~ 2021-01-06,무료,기타
2021년 조천읍도서관 겨울독서교실,조천,비대면 온라인,15/15 ,2021-01-18 ~ 2021-01-21,2020-12-28 ~ 2021-01-04,무료,초등학생
2021 한경도서관 겨울독서교실 참가자 모집,한경,자택(비대면교육),1/8 ,2021-01-11 ~ 2021-01-14,2020-12-06 ~ 2020-12-06,무료,초등학생
