강좌명,대상,기간
[팹라이브러리] 매월(5월) 마지막 문화가 있는 수요일 <유니맷으로 나만의 우든샤프 만들기> [5/25],성인,2022.05.25(수)~2022.05.25(수)
[팹라이브러리] 장비사용안전교육(5/28),전연령,2022.05.28(토)~2022.05.28(토)
[팹라이브러리] 장비사용안전교육(5/14),전연령,2022.05.14(토)~2022.05.14(토)
광진정보도서관 실버이야기교실 14기 참여자 모집,성인,2022.05.11(수)~2022.11.09(수)
"[온라인_중곡]도서관 인문학 콘서트 김누리, 김찬호, 최샛별 특강 (통합 신청)",전연령,2022.04.28(목)~2022.05.27(금)
[팹라이브러리] 원데이클래스 : HANDMADE 나만의 '가죽키링+책갈피',전연령,2022.04.16(토)~2022.04.16(토)
[팹라이브러리] 4월 매월 마지막 문화가 있는 수요일 < 나만의 컬러 스티커 만들기 > [4/27],전연령,2022.04.27(수)~2022.04.27(수)
"[팹라이브러리]에서 놀자! DIY 공중부양모빌만들기 (퓨전360) [4/8, 4/15 2회차] ",전연령,2022.04.08(금)~2022.04.15(금)
[미디어창작공간] 4월: OBS를 활용한 영화 리뷰 영상 제작,성인,2022.04.24(일)~2022.04.24(일)
4월 문화가 있는 수요일 웹툰 창작 체험: 디저트의 세계,전연령,2022.04.27(수)~2022.04.27(수)
"[온라인_중곡] “돌아온, 온라인 쏙! 도서관 놀이터”  초등 1~4학년 어린이를 위한 그림책 작가와의 만남",어린이,2022.04.17(일)~2022.04.17(일)
[온라인_중곡] 도서 평론가 이권우의 책 읽기 특강 “삶을 바꾸는 독서 : 인공지능 시대의 책 읽기”,성인,2022.04.19(화)~2022.04.19(화)
2022 광진정보도서관 부모교육 <내가 모르는 내 아이 마음 알아보기>,전연령,2022.04.20(수)~2022.04.27(수)
2022 광진정보도서관 일상에서 만나는 인문학 《역사와 문화를 통해 배우는 동유럽》,전연령,2022.04.07(목)~2022.05.12(목)
[팹라이브러리] 나만의 제페토 월드 만들기<메타버스체험>,전연령,2022.04.17(일)~2022.07.03(일)
[팹라이브러리] 장비사용교육(4/23),전연령,2022.04.23(토)~2022.04.23(토)
[팹라이브러리] 장비사용교육(4/9),전연령,2022.04.09(토)~2022.04.09(토)
[메이커-교육] VR과 함께하는 메타버스,어린이,2022.04.17(일)~2022.07.03(일)
2022년 광진정보도서관 실버독서회 참여자 모집,성인,2022.04.08(금)~2022.08.19(금)
[메이커-교육] 3D 공작소: 3D 모델링 창의교육,어린이,2022.03.26(토)~2022.05.28(토)
"광진정보도서관 ""시니어 자서전""쓰기 참여자 모집 안내",성인,2022.04.08(금)~2022.12.22(목)
영화로 만나는 한국 현대사(초등 5~6)(2022년 광진정보도서관 교육문화프로그램 1차),어린이,2022.04.02(토)~2022.04.23(토)
[미디어창작공간] 3월: 크로마키와 OBS 기초활용,성인,2022.03.25(금)~2022.03.25(금)
2022 광진정보도서관 일상에서 만나는 인문학 「열녀전(列女傳)의 여인들」,성인,2022.03.21(월)~2022.05.09(월)
[팹라이브러리] 3월 매월 마지막 문화가 있는 수요일 < 3D펜 do it together! >,전연령,2022.03.30(수)~2022.03.30(수)
[메이커-교육] 웹툰창작 중급반 참가자 모집 (온라인),어린이,2022.04.03(일)~2022.06.19(일)
[메이커-교육] 웹툰창작 초급반 참가자 모집 (온라인),어린이,2022.04.03(일)~2022.06.19(일)
[메이커-교육] 그림책과 함께하는 유쾌한 코딩(온라인),어린이,2022.03.19(토)~2022.05.21(토)
[팹라이브러리]에서 놀자! 나만의 퍼즐 만들기(레이저커팅기)[3/25] ,전연령,2022.03.25(금)~2022.03.25(금)
[팹라이브러리]에서 놀자! 나만의 퍼즐 만들기(레이저커팅기)[3/11] ,전연령,2022.03.11(금)~2022.03.11(금)
[메이커-교육] 웹툰창작 성인반 참가자 모집 (온라인),성인,2022.03.17(목)~2022.05.26(목)
3월 문화가 있는 수요일 웹툰 창작 체험: 익숙한 소재로 엉뚱한 상상하기,전연령,2022.03.30(수)~2022.03.30(수)
[팹라이브러리] 장비사용교육(3/26),전연령,2022.03.26(토)~2022.03.26(토)
[팹라이브러리] 장비사용교육(3/12),전연령,2022.03.12(토)~2022.03.12(토)
[중곡] 2022년 1분기 초등 1~2학년 어린이를 위한 철학 독서 미술 활동 <감성톡톡>,어린이,2022.03.10(목)~2022.04.28(목)
와글와글 과학놀터 (2)(초등 3~4)(2022년 광진정보도서관 교육문화프로그램 1차),어린이,2022.03.12(토)~2022.04.30(토)
와글와글 과학놀터 (1)(초등 1~2)(2022년 광진정보도서관 교육문화프로그램 1차),어린이,2022.03.12(토)~2022.04.30(토)
"도서관, 일상을 기록하다(스마트폰 카메라로 일상 사진찍기)",성인,2022.03.03(목)~2022.04.21(목)
내가 그린(GREEN) 그림책 업사이클링(2022년 광진정보도서관 교육문화프로그램 1차) ,어린이,2022.03.10(목)~2022.03.31(목)
어린이 갈래별 글쓰기(다양한 갈래)(2022년 광진정보도서관 교육문화프로그램 1차),어린이,2022.03.04(금)~2022.04.22(금)
2022년 상반기 광진정보도서관 청소년독서회(중학교 2/3학년),청소년,2022.03.05(토)~2022.07.16(토)
2022년 상반기 광진정보도서관 청소년독서회(중학교 1학년),청소년,2022.03.12(토)~2022.07.23(토)
2022 광진정보도서관 도시농업학교,전연령,2022.03.12(토)~2022.11.26(토)
[메이커-작업] 성인창작(3D프린터운용기능사 실기공략반/Fusion360) 참가자 모집,성인,2022.02.27(일)~2022.05.01(일)
[팹라이브러리]에서 놀자! 3D프린터 + 리쏘페인 나만의 무드등 만들기 (2/25),전연령,2022.02.25(금)~2022.02.25(금)
[팹라이브러리]에서 놀자! 3D프린터 + 리쏘페인 나만의 무드등 만들기 (2/11),전연령,2022.02.11(금)~2022.02.11(금)
[팹라이브러리] 장비사용안전교육(2/26),전연령,2022.02.26(토)~2022.02.26(토)
[팹라이브러리] 장비사용안전교육(2/12),전연령,2022.02.12(토)~2022.02.12(토)
"2월 문화가 있는 수요일: 웹툰 창작 체험, 나만의 마우스 패드 만들기",전연령,2022.02.23(수)~2022.02.23(수)
(어린이를 위한) 반려식물 키우기 교실,어린이,2022.01.19(수)~2022.01.21(금)
(그림책과 함께하는) 반려식물 키우기 교실(성인),성인,2022.01.19(수)~2022.01.21(금)
[메이커-작업] 성인창작 <2022 그림책과 오토마타>,전연령,2022.01.09(일)~2022.03.20(일)
독서동아리 리더보수교육-동아리 리스타트,성인,2022.01.11(화)~2022.02.08(화)
"[팹라이브러리]에서 놀자! 3D프린터 + 매쉬믹서 (1/21, 1/28 2회차)",전연령,2022.01.21(금)~2022.01.28(금)
[팹라이브러리] 3D프린터 공방창업 1일특강,성인,2022.01.15(토)~2022.01.15(토)
[팹라이브러리] 1월 < 토퍼(Topper) > 체험  프로그램,전연령,2022.01.26(수)~2022.01.26(수)
[팹라이브러리] 장비사용교육(1/29),전연령,2022.01.29(토)~2022.01.29(토)
[팹라이브러리] 장비사용교육(1/22),전연령,2022.01.22(토)~2022.01.22(토)
문화가 있는 수요일: 웹툰 창작 체험 1월 ,전연령,2022.01.26(수)~2022.01.26(수)
[클래식 공연]  클래식 기타로 만나는 가족이야기,전연령,2021.12.30(목)~2021.12.30(목)
2022년 광진정보도서관 겨울방학 독서교실 운영안내,어린이,2022.01.11(화)~2022.01.14(금)
