,지역,title,target
103,마포구,[제11회 책축제] 어린이를 위한 메타버스 시민교실,어린이
104,마포구,[제11회 책축제]' 학교 가는 길' 관람 & 김정인 감독 특강 <다시 듣고 보고 가다 - 영화 > ,전연령
105,마포구,"[제11회 책축제] 빛소리 친구들 공연, 김성호 감독 특강 <다시 듣고 보고 가다 - 공연& 영화 > ",전연령
106,마포구,[제11회 책축제] 책장넘겨 떠나볼까? 랜선투어 - 마카오 인사이드,전연령
107,마포구,[북스타트] 2021 마포구 서울북스타트 어린이집용 책꾸러미 단체신청(추가)(오전 9시부터 접수 가능),어린이
108,마포구,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (3차시:11월24일),성인
109,마포구,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (2차시:11월17일),성인
110,마포구,[◆대면][어린이 다문화 상호이해 프로그램2] 옛이야기 전래놀이(추가모집),어린이
111,마포구,"[★온라인강연][2021년 평화 1번지 마포] 역사 속에서 찾은 북한의 맛, 통일식당 개성밥상",전연령
112,마포구,[◆대면][북스타트] 11월 스토리텔링이 있는 북스타트 데이 (1차시:11월10일),성인
113,마포구,[★온라인강연][2021년 평화 1번지 마포] 음식을 통해 본 통일,전연령
114,마포구,"[◆대면] 어르신 디지털 리터러시-똑똑, 스마트폰 활용",시니어
115,마포구,[★온라인강연][지혜의도서관] 인류세와 미술 (12회차강연),전연령
116,마포구,[★온라인강연][한국어문학과 포노사피엔스4] 포노사피엔스의 워라밸이란,전연령
117,마포구,[★온라인강연][2021년 평화 1번지 마포] 여행하며 맛 본 북한의 음식 ,전연령
118,마포구,[★온라인강연] 마중도 어린이 북큐레이터(나의 소중함을 알아가요),어린이
119,마포구,[★온라인강연][한국어문학과 포노사피엔스3] 디지털 리터러시와 시적 언어의 학습효과,전연령
120,마포구,[★온라인강연][지혜의도서관] 인공지능은 예술작품을 창작할 수 있을까 (11회차강연),전연령
121,마포구,[★온라인강연][한국어문학과 포노사피엔스 2] 포노사피엔스 시대의 고전문학 향유방식 탐구,전연령
122,마포구,[★온라인강연][지혜의도서관] SF문학으로 보는 포스트휴머니즘 (10회차강연),전연령
123,마포구,[★온라인강연] 화요미시회(8회강연),시니어
124,마포구,[★온라인강연][미디어 평생교실] 미디어 리터러시 - 학부모 연수,성인
125,마포구,[★온라인강연][한국어문학과 포노사피엔스]1. 포털뉴스댓글의 비난화행,전연령
126,마포구,[북스타트 동영상] 음악이 있는 북스타트 스토리 타임,어린이
127,마포구,[★온라인강연][아웃사이더 인문학] <미학> 디지털 미학의 문화정치,전연령
128,마포구,[★온라인강연][아웃사이더 인문학] <클래식> 클래식이 알고싶다 – 브람스를 좋아하세요?,전연령
129,마포구,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활3:대동여지도 간행 160주년 강의,전연령
130,마포구,"[★온라인강연][지혜의도서관] 환경과 생태, 지구를 살리는 소비 (9회차강연)",전연령
131,마포구,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활2:학자의 눈으로 바라본 박완서,전연령
132,마포구,"[★온라인강연] 마중도 어린이 북큐레이터 (초3,4)",어린이
133,마포구,[★온라인강연][지혜의도서관] 수소로 전기와 열을 만드는 세상 (8회차강연),전연령
134,마포구,[★온라인강연] 2021독서의 달 기념_마중도 탐구생활1:출판인의 눈으로 바라본 박완서,전연령
135,마포구,[★온라인강연] 북스타트 온라인 부모교육,성인
136,마포구,[★온라인강연][지혜의도서관] 기후변화와 우리의 미래 (7회차강연),전연령
137,마포구,[★온라인강연][아웃사이더 인문학] <윤리학> 윤리학의 분투 – 생활 속의 응용윤리,전연령
138,마포구,[★온라인강연][아웃사이더 인문학] <철학> 왜 공부하는 삶을 사는가?,전연령
139,마포구,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 3회차강연,전연령
140,마포구,[★온라인강연][지혜의도서관] AI윤리기준:인공지능과의 공존 (6회차강연),전연령
141,마포구,[★온라인강연][리터러시] 미디어셰프,어린이
142,마포구,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 2회차강연,전연령
143,마포구,[★온라인강연][지혜의도서관] 포스트휴먼과 포스트휴머니즘 (5회차강연),전연령
144,마포구,[★온라인강연] 마포중앙도서관X소극장 산울림「우리가 사랑한 영미고전」 1회차강연,전연령
145,마포구,"[★온라인강연][지혜의도서관] 과학의 시대, 생명윤리학의 역할 (4회차강연)",전연령
146,마포구,[지혜의도서관] 뇌과학과 인공지능은 같은 학문일까(3회차강연),전연령
147,마포구,[온라인] 작지만 확실한 행복 북스타트 소확행 그림책 테라피,성인
148,마포구,2021년 어르신 독서 동아리 '책으로활짝 60+'(2021 큰글자책숲 여행),시니어
149,마포구,[어린이 다문화 상호이해 프로그램2] 옛이야기 전래놀이,어린이
150,마포구,[★온라인 전환 2021 마중도 리딩튜터] 꼬리에 꼬리를 무는 독서단 초등부 ,어린이
151,마포구,[북스타트] 6월 스토리텔링이 있는 북스타트 데이,성인
152,마포구,“나의 인생을 영상자서전으로 만들기” 특강,시니어
153,마포구,[북스타트] 심화 : 하루 15분 그림책 읽어주는 아빠 프로젝트,성인
154,마포구,[지혜의도서관] 인공지능의 미래:슈퍼인텔리전스(2회차강연),전연령
155,마포구,"[리터러시] 미디어가디언스 (초5,6)",어린이
156,마포구,[북스타트] 기본 : 하루 15분 그림책 읽어주는 아빠 프로젝트(추가모집),성인
157,마포구,"[리터러시] 미디어가디언스 (초3,4)",어린이
158,마포구,[도서관 지혜학교] 중국의 옛 노래로 배우는 즐겁게 살기의 지혜,시니어
159,마포구,"〈동서양 역사 속의 질병과 의학 이야기〉 한국 최초의 여의사, 박에스더 (4회차)",전연령
160,마포구,〈동서양 역사 속의 질병과 의학 이야기〉 중국 송대의 일상생활 속의 질병과 의학 (3회차),전연령
