행사명,대상,행사일시
[어린이책마을]동화동무씨동무 ,대상 : 초등 5-6학년,프로그램 기간 : 2021.03.13 ~ 2021.05.29
학교 적응부터 온라인수업까지_예비초 학부모교육,대상 : 성인,프로그램 기간 : 2021.02.17 ~ 2021.02.17
아동학대예방교육_우리가 바꿀게!,대상 : 성인,프로그램 기간 : 2021.02.03 ~ 2021.02.03
어린이책마을_다시쓰는 혹부리영감_혹부리 환불소동,대상 : 누구나,프로그램 기간 : 2021.01.30 ~ 2021.01.30
1.17(일) 1차수령(11-14시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.17 ~ 2021.01.17
1.17(일) 2차수령(15-18시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.17 ~ 2021.01.17
1.16(토) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 누구나,프로그램 기간 : 2021.01.16 ~ 2021.01.16
1.16(토) 2차수령(15-18시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.16 ~ 2021.01.16
1.15(금) 1차수령(11-14시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.15 ~ 2021.01.15
1.15(금) 2차수령(15-18시) 안심도서대출서비스 ,대상 : 누구나,프로그램 기간 : 2021.01.15 ~ 2021.01.15
1.14(목) 1차수령(11-14시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.14 ~ 2021.01.14
1.13(수) 1차수령(11-14시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.13 ~ 2021.01.13
1.13(수) 2차수령(15-18시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.13 ~ 2021.01.13
1.12(화) 1차수령(11-14시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.12 ~ 2021.01.12
1.12(화) 2차수령(15-18시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.12 ~ 2021.01.12
1.10(일) 1차수령(11-14시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.10 ~ 2021.01.10
1.10(일) 2차수령(15-18시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.10 ~ 2021.01.10
1.9(토) 1차수령(11-14시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.09 ~ 2021.01.09
1.9(토) 2차수령(15-18시) 안심도서대출서비스 ,대상 : 누구나,프로그램 기간 : 2021.01.09 ~ 2021.01.09
1.8(금) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 누구나,프로그램 기간 : 2021.01.08 ~ 2021.01.08
1.8(금) 2차수령(15-18시) 안심도서대출서비스,대상 : 누구나,프로그램 기간 : 2021.01.08 ~ 2021.01.08
1.7(목) 1차수령(11-14시) 안심도서대출서비스 ,대상 : 누구나,프로그램 기간 : 2021.01.07 ~ 2021.01.07
