,LBRRY_CD,LBRRY_NM,LBRRY_ADDR,LBRRY_LA,LBRRY_LO,ONE_AREA_NM,TWO_AREA_NM,LBRRY_TY_CD,LBRRY_TY_NM,REPRSNT_YN
582,19000,광주남구문화정보도서관,광주광역시 남구 봉선로 208,35.1220332,126.9175553,광주광역시,남구,1,공공,Y
585,22000,순창군립도서관,전라북도 순창군 순창읍 순창5길 18,35.3735182,127.1406453,전라북도,순창군,1,공공,Y
586,28400,태백시립도서관,강원도 태백시 평화길 12,37.0996919,129.0219603,강원도,태백시,1,공공,Y
587,23000,남양주시 정약용도서관,경기도 남양주시 다산중앙로82번안길 138,37.5859178,127.1707352,경기도,남양주시,1,공공,Y
599,10000,청주시립도서관(임시청사),충청북도 청주시 상당구 단재로 393,36.6124884,127.5058194,충청북도,청주시 상당구,1,공공,Y
617,10100,단양군립다누리도서관,충청북도 단양군 단양읍 수변로 111,36.985817,128.3707666,충청북도,단양군,1,공공,Y
619,10200,관평도서관,대전광역시 유성구 테크노4로 131,36.4262899,127.3897975,대전광역시,유성구,1,공공,Y
620,20000,안양시립석수도서관,경기도 안양시 만안구 양화로217번길 34,37.4115139,126.9031152,경기도,안양시 만안구,1,공공,Y
632,10400,마포중앙도서관,서울특별시 마포구 성산로 128,37.5633288,126.9078837,서울특별시,마포구,1,공공,Y
647,10500,은평구립도서관,서울특별시 은평구 통일로78가길 13-84,37.6192,126.928243,서울특별시,은평구,1,공공,Y
664,10900,동두천시립도서관,경기도 동두천시 상패로 60,37.9068364,127.0474073,경기도,동두천시,1,공공,Y
671,10800,강북문화정보도서관,서울특별시 강북구 오현로 145,37.6248352,127.0360823,서울특별시,강북구,1,공공,Y
673,11200,경산시립도서관,경상북도 경산시 하양읍 문화로10길 15,35.9132142,128.8129935,경상북도,경산시,1,공공,Y
675,11300,연천군중앙도서관,경기도 연천군 전곡읍 전은길 9-26,38.0323136,127.0708708,경기도,연천군,1,공공,Y
683,11800,울산 남구 도산도서관,울산광역시 남구 번영로54번길 6,35.5307144,129.3315455,울산광역시,남구,1,공공,Y
687,12100,세종평생교육학습관,세종특별자치시 조치원읍 문화2길 25,36.6003538,127.2876324,세종특별자치시,세종시,1,공공,Y
688,12200,용인중앙도서관,경기도 용인시 처인구 명지로 27,37.2334148,127.1902732,경기도,용인시 처인구,1,공공,Y
704,12300,진주시립연암도서관,경상남도 진주시 모덕로47번길 13-17,35.1830905,128.1019738,경상남도,진주시,1,공공,Y
709,12600,평택시립안중도서관,경기도 평택시 안중읍 서동대로 1531,36.9896318,126.919648,경기도,평택시,1,공공,Y
728,11700,약숫골도서관,울산광역시 중구 평산4길 38,35.5704567,129.3372122,울산광역시,중구,1,공공,Y
729,12700,나주공공도서관,전라남도 나주시 남고문로 51,35.0294249,126.7165623,전라남도,나주시,1,공공,Y
741,25600,장기도서관,경기도 김포시 김포한강2로 42,37.6412564,126.6793343,경기도,김포시,1,공공,Y
751,12800,의정부과학도서관,경기도 의정부시 추동로124번길 52,37.744874,127.0690533,경기도,의정부시,1,공공,Y
765,13200,화성시립동탄복합문화센터도서관,경기도 화성시 노작로 134,37.201479,127.0750941,경기도,화성시,1,공공,Y
